GalaxyID,Class1.1,Class1.2,Class1.3,Class2.1,Class2.2,Class3.1,Class3.2,Class4.1,Class4.2,Class5.1,Class5.2,Class5.3,Class5.4,Class6.1,Class6.2,Class7.1,Class7.2,Class7.3,Class8.1,Class8.2,Class8.3,Class8.4,Class8.5,Class8.6,Class8.7,Class9.1,Class9.2,Class9.3,Class10.1,Class10.2,Class10.3,Class11.1,Class11.2,Class11.3,Class11.4,Class11.5,Class11.6
100023,0.327001,0.663777,0.009222,0.031178269,0.632598731,0.467369636,0.165229095,0.591327989,0.041270741,0.0,0.236781072,0.160940708,0.23487695,0.189149,0.810851,0.0,0.135081824,0.191919176,0.0,0.0,0.140353476,0.0,0.048795524,0.0,0.0,0.012414127,0.0,0.018764143,0.0,0.131377705,0.459950285,0.0,0.591327989,0.0,0.0,0.0,0.0
100090,0.933839,0.0,0.066161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029383,0.970617,0.494587282,0.439251718,0.0,0.0,0.0,0.0,0.0,0.0,0.029383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100322,0.091987,0.908013,0.0,0.816805818,0.091207182,0.0,0.091207182,0.0,0.091207182,0.044668535,0.0,0.0,0.046538647,0.0,1.0,0.0,0.0,0.091987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.629588207,0.044402381,0.14281523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100380,0.03,0.97,0.0,0.04365,0.92635,0.463175,0.463175,0.92635,0.0,0.0,0.5724843,0.32700155,0.02686415,0.101,0.899,0.0,0.02721,0.00279,0.027343629,0.01614384,0.030168801,0.027343629,0.0,0.0,0.0,0.01619415,0.0,0.02745585,0.463175,0.463175,0.0,0.0,0.272619247,0.136309623,0.272619247,0.081600319,0.163200638
100867,0.806776,0.143003,0.05022,0.0,0.143003,0.0,0.143003,0.0,0.143003,0.0,0.0,0.143003,0.0,0.124029,0.875971,0.693999203,0.112776797,0.0,0.0,0.023046325,0.0,0.037295396,0.037295396,0.026391759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100887,0.548984,0.430549,0.020467,0.0,0.430549,0.280731726,0.149817274,0.330201806,0.100347194,0.051769642,0.069658953,0.255568289,0.053552115,0.175481,0.824519,0.087678784,0.461305216,0.0,0.00526443,0.0,0.056680363,0.0,0.113536207,0.0,0.0,0.0,0.0,0.0,0.165100903,0.165100903,0.0,0.0,0.165100903,0.0,0.0,0.0,0.165100903
101007,0.077166,0.895607,0.027227,0.0,0.895607,0.147038966,0.748568034,0.742200268,0.153406732,0.0,0.740600714,0.093122529,0.061883757,0.347489,0.652511,0.039376112,0.037789888,0.0,0.0,0.04344238,0.04344238,0.21488268,0.045721908,0.0,0.0,0.0,0.0,0.0,0.480422523,0.210206702,0.051571043,0.0,0.030076181,0.296900889,0.0,0.0,0.415223198
101251,0.722908,0.252678,0.024414,0.0,0.252678,0.0,0.252678,0.252678,0.0,0.0,0.0,0.17557912,0.07709888,0.282675,0.717325,0.572891578,0.150016422,0.0,0.0,0.0,0.105695857,0.034371019,0.072009478,0.070598647,0.0,0.0,0.0,0.0,0.0,0.0,0.252678,0.252678,0.0,0.0,0.0,0.0,0.0
101283,0.576192,0.423808,0.0,0.0,0.423808,0.183939453,0.239868547,0.179202975,0.244605025,0.0,0.327799383,0.096008617,0.0,0.106892,0.893108,0.496226346,0.079965654,0.0,0.0,0.053446,0.0,0.0,0.053446,0.0,0.0,0.0,0.0,0.0,0.179202975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179202975
101324,0.444025,0.555975,0.0,0.0,0.555975,0.243818944,0.312156056,0.353629011,0.202345989,0.374623739,0.181351261,0.0,0.0,0.133159,0.866841,0.0,0.423068352,0.020956648,0.0,0.0,0.044443814,0.041588485,0.047126834,0.0,0.0,0.0,0.0,0.0,0.130579988,0.223049023,0.0,0.0,0.0,0.0,0.0,0.0,0.353629011
101375,0.394491,0.586077,0.019431,0.146437199,0.439639801,0.0,0.439639801,0.145029696,0.294610104,0.089233251,0.07835964,0.272046911,0.0,0.080756,0.919244,0.0,0.303073234,0.091417766,0.0,0.0,0.0,0.080756,0.0,0.0,0.0,0.146437199,0.0,0.0,0.145029696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145029696
101493,0.331373,0.646556,0.022071,0.0,0.646556,0.160859253,0.485696747,0.1574338,0.4891222,0.0,0.0,0.537450322,0.109105678,0.044779,0.955221,0.164970403,0.166402597,0.0,0.0,0.0,0.0,0.0,0.044779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1574338,0.0,0.0,0.0,0.0,0.0,0.1574338
101591,0.335298,0.623813,0.040888,0.0,0.623813,0.0,0.623813,0.0,0.623813,0.0,0.0,0.521187652,0.102625348,0.861228,0.138772,0.265776977,0.069521023,0.0,0.0,0.0,0.0,0.019695423,0.525033009,0.316499568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101595,0.137009,0.844953,0.018038,0.768791471,0.076161529,0.0,0.076161529,0.0,0.076161529,0.0,0.076161529,0.0,0.0,0.030143,0.969857,0.0,0.0,0.137009,0.0,0.0,0.030143,0.0,0.0,0.0,0.0,0.192197868,0.032289242,0.544304362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101599,0.746572,0.232688,0.02074,0.174516,0.058172,0.0,0.058172,0.0,0.058172,0.0,0.058172,0.0,0.0,0.091448,0.908552,0.075164869,0.465704894,0.205702237,0.0,0.0,0.0,0.0,0.091448,0.0,0.0,0.109176512,0.065339488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101666,0.132546,0.867454,0.0,0.073675471,0.793778529,0.469660499,0.32411803,0.051904384,0.741874145,0.493457185,0.279439412,0.0,0.020881932,0.548749,0.451251,0.009420177,0.113705646,0.009420177,0.0,0.0,0.1097498,0.203585879,0.2194996,0.015913721,0.0,0.036837735,0.0,0.036837735,0.0,0.051904384,0.0,0.0,0.0,0.0,0.0,0.0,0.051904384
101756,0.030228,0.969772,0.0,0.0,0.969772,0.676507129,0.293264871,0.759334385,0.210437615,0.0,0.137115093,0.643468936,0.18918894,0.689875,0.310125,0.003028725,0.027199275,0.0,0.446745113,0.0,0.208870004,0.0,0.034259882,0.0,0.0,0.0,0.0,0.0,0.095011715,0.42717343,0.237149241,0.0,0.569500789,0.0,0.0,0.0,0.189833596
101858,0.948216,0.051784,0.0,0.0,0.051784,0.0,0.051784,0.0,0.051784,0.017244072,0.0,0.034539928,0.0,0.042664,0.957336,0.0,0.474108,0.474108,0.0,0.021332,0.0,0.021332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101893,0.133808,0.860998,0.005194,0.860998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203355,0.796645,0.0,0.0,0.133808,0.0,0.040671,0.0,0.040671,0.0,0.0,0.122013,0.475085781,0.032506118,0.3534061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101943,0.855317,0.116171,0.028511,0.0,0.116171,0.0,0.116171,0.0,0.116171,0.0,0.04894563,0.035125347,0.032100022,0.111157,0.888843,0.782722825,0.072594175,0.0,0.0,0.0,0.037015281,0.0,0.074141719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102159,0.239007,0.723905,0.037088,0.0,0.723905,0.294935547,0.428969453,0.285638435,0.438266565,0.0,0.273573834,0.450331166,0.0,0.247706,0.752294,0.067234581,0.171772419,0.0,0.0,0.082486098,0.041366902,0.123853,0.0,0.0,0.0,0.0,0.0,0.0,0.1351901,0.108888799,0.041559535,0.043654693,0.113081686,0.0,0.0,0.0,0.128902056
102176,0.108068,0.853528,0.038404,0.176680296,0.676847704,0.056593944,0.62025376,0.676847704,0.0,0.0,0.281995736,0.361001461,0.033849831,0.16917,0.83083,0.0,0.0,0.108068,0.0,0.0,0.03248064,0.0,0.07172808,0.0,0.06496128,0.041125342,0.033888694,0.101666259,0.406108622,0.270739082,0.0,0.0,0.0,0.101527156,0.304581467,0.06768477,0.203054311
102295,0.700306,0.275727,0.023967,0.06893175,0.20679525,0.0,0.20679525,0.135615911,0.071179339,0.0,0.06075479,0.075979884,0.070060576,0.179306,0.820694,0.455941925,0.244364075,0.0,0.0,0.0,0.0358612,0.0,0.1434448,0.0,0.0,0.0,0.0,0.06893175,0.0,0.135615911,0.0,0.0,0.0,0.0,0.0,0.0,0.135615911
102407,0.04231,0.95769,0.0,0.025482216,0.932207784,0.08184225,0.850365534,0.932207784,0.0,0.146643742,0.608035324,0.090783055,0.086744731,0.108094,0.891906,0.0,0.04231,0.0,0.0,0.0216188,0.0648564,0.0216188,0.0,0.0,0.0,0.0,0.0,0.025482216,0.624546588,0.307661196,0.0,0.0,0.701766952,0.071519913,0.0,0.050819307,0.108101611
102422,0.008077,0.96617,0.025752,0.018983308,0.947186692,0.017312678,0.929874013,0.901424314,0.045762378,0.062573994,0.385522033,0.41522486,0.083865804,0.133073,0.866927,0.008077,0.0,0.0,0.0,0.0,0.0532292,0.0266146,0.0532292,0.0,0.0,0.018983308,0.0,0.0,0.220748899,0.519946953,0.160728462,0.0,0.049058215,0.34635787,0.198931726,0.051013405,0.256063098
